Gene Set	Score	0.95 MoE	P-Value	FDR
YAP signature based on mechanism	-0.8658560238757939	0.16082914155247188	0.011111111111111112	0.1
GO_NEURON_CELL_CELL_ADHESION	-0.6581958589012393	0.1882212357532805	0.022222222222222223	0.1
VANTVEER_BREAST_CANCER_BRCA1_UP	-0.4040662827776976	0.2792721321407761	0.08888888888888889	0.25
BIOCARTA_RHO_PATHWAY	-0.373637967467438	0.16783662912297392	0.1111111111111111	0.25
ONGUSAHA_TP53_TARGETS	0.188893686406664	0.23536924906292753	0.4666666666666667	0.84
YAP signature based on cell HEK293 in paper Cell 150, 780–791, August 17, 2012	0.2831598160075644	0.3043635473143345	0.3	0.675
GO_SH2_DOMAIN_BINDING	0.39671635883349377	0.16708513265023542	0.17777777777777778	0.5333333333333334
GO_14_3_3_PROTEIN_BINDING	0.5230699662276845	0.18526544016334873	0.13333333333333333	0.5333333333333334
YAP signature based on cell NIH3T3_MCD10A in paper GENES & DEVELOPMENT 22:1962–1971 2008	0.8651670937151341	0.1726956332777019	0.011111111111111112	0.1
