Name	SW620_LARGE_INTESTINE	NCIH23_LUNG	KM12_LARGE_INTESTINE	U251MG_CENTRAL_NERVOUS_SYSTEM	SF268_CENTRAL_NERVOUS_SYSTEM	NCIH522_LUNG	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DU145_PROSTATE	SKMEL28_SKIN	NCIH460_LUNG	PC3_PROSTATE	MDAMB231_BREAST	NIHOVCAR3_OVARY	UACC257_SKIN	OVCAR5_OVARY	HCT15_LARGE_INTESTINE	HOP62_LUNG	MDAMB435S_SKIN	HCT116_LARGE_INTESTINE	OVCAR8_OVARY	A549_LUNG	HOP92_LUNG	NCIH226_LUNG	OVCAR4_OVARY	HT29_LARGE_INTESTINE	LOXIMVI_SKIN	EKVX_LUNG	MCF7_BREAST	ACHN_KIDNEY	BT549_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF539_CENTRAL_NERVOUS_SYSTEM	UO31_KIDNEY	SF295_CENTRAL_NERVOUS_SYSTEM	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	UACC62_SKIN	MALME3M_SKIN	MDAMB468_BREAST	SKMEL5_SKIN	HS578T_BREAST	IGROV1_OVARY	TK10	T47D_BREAST	SNB75_CENTRAL_NERVOUS_SYSTEM	SKOV3_OVARY	A498_KIDNEY
C54:6 TAG	10525790.0	29974281.0	22524191.0	12922864.0	20978606.0	5147771.0	15160420.0	24301360.0	13013412.0	53068950.0	55651086.0	25621999.0	79981774.0	12002243.0	13595499.0	27839571.0	17310760.0	25990559.0	23893745.0	5965763.0	41322702.0	54968904.0	11933439.0	11424716.0	21900996.0	33354758.0	9950373.0	15062769.0	10390940.0	38227561.0	82572366.0	20195907.0	15018424.0	36660869.0	29089856.0	25319449.0	47641412.0	29907042.0	16813494.0	24458869.0	35310740.0	7139769.0	18145151.0	12222450.0	14083229.0	86747783.0
C54:5 TAG		25119154.0	11691293.0		17779355.0		10258706.0	20575949.0	40323353.0	78851989.0	70834151.0	32000781.0	68472844.0				9670353.0	30399475.0	15770220.0		18180422.0	51107023.0	17591458.0	10419409.0	13322409.0	11211989.0	8215440.0	9042997.0	12294427.0	43317492.0	74703571.0	19252728.0	9201481.0	4991603.0	29956360.0	28074359.0	35190681.0	35674048.0	11745024.0	30196228.0	32783660.0		11473060.0	11492185.0	12533784.0	81031513.0
C54:4 TAG	17961570.0	48475077.0	27744287.0	14593568.0	20844398.0	4829233.0	10057922.0	28279745.0	41638295.0	218538283.0	79524471.0	27629769.0	64640798.0	9882930.0	12191044.0	25746698.0	18761992.0	62378647.0	14963924.0	8019539.0	21784593.0	78052886.0	11164542.0	13134703.0	12186184.0		17146726.0	21266994.0	17028910.0	52553522.0	68712096.0	16018989.0	23771368.0	53596699.0	39170911.0	40295199.0	118115922.0	40401748.0	34340148.0	37090862.0	33653269.0	30173464.0	15850363.0	24491798.0	27293982.0	104106302.0
C54:3 TAG	121135673.0	98653806.0	69786372.0	21191576.0	34326933.0	13495865.0	30123625.0	35391224.0	162519626.0	562150911.0	58649950.0	49325951.0	56446747.0	42544363.0	20536101.0	69145330.0	55753857.0	133179734.0	99176155.0	15441678.0	48310357.0	90387599.0	34244901.0	37980888.0	40381892.0	22116674.0	54294963.0	87357966.0	20798415.0	65785281.0	52339148.0	41003526.0	40029319.0	168823617.0	42888399.0	96805245.0	91487811.0	66827074.0	149559528.0	55217461.0	110053414.0	145288115.0	85205838.0	43560134.0	41883966.0	176472603.0
C54:2 TAG	114292035.0	158923955.0	99590953.0	24465284.0	18799729.0	4861868.0	66866668.0	32570856.0	75492582.0	172404557.0	58736614.0	53086732.0	21107100.0	55304095.0	32043132.0	105267246.0	47287382.0	164994802.0	94258559.0	14515762.0	68635120.0	90680755.0	40872802.0	33082135.0	78853484.0	12255869.0	29706474.0	26568789.0	19007003.0	17776321.0	28592444.0	11879802.0	47993919.0	72237023.0	35341767.0	128617919.0	41390369.0	46391519.0	102533402.0	32243093.0	65952546.0	33056210.0	97603473.0	26317038.0	75981416.0	167894805.0
C54:1 TAG	23774298.0	35270986.0	39244876.0	11503587.0	10920602.0		46361044.0	5810942.0		25078667.0	23145291.0	34660288.0	22737280.0	11495256.0	15885355.0	48741024.0	13371040.0	35981037.0	15024859.0		24137873.0	27109398.0	27533937.0		29893088.0	3577059.0	4791434.0		5892344.0		7107026.0	5383543.0	35583190.0	12698061.0	8627866.0	53760050.0		7404484.0	5952759.0	3183754.0		4098984.0	26274876.0	5948380.0	24312437.0	51586793.0
C56:10 TAG											14625616.0																																			
C56:8 TAG	22218142.0	26207152.0		35778166.0	18974129.0	56748121.0		16153644.0	80327902.0	36069762.0	56397140.0	34457077.0		11035159.0	21255561.0	20594794.0	20827646.0	30051077.0		19594649.0		47115183.0	22384605.0	70973934.0	35480232.0	27925999.0	13852460.0	45450441.0	20753560.0	36821175.0	63575448.0	25843868.0	9860987.0		42713070.0	17870044.0	38211672.0	24906513.0	6735172.0	60475478.0		16965088.0	17144884.0	22930757.0		53908387.0
C56:7 TAG		25109072.0	6827262.0	12826308.0	14073451.0		13621026.0	24430020.0		41515709.0	53979689.0	21042059.0	52138618.0		7486800.0	17370282.0	7265608.0	27387689.0	6451252.0		88335028.0	48621687.0	5385985.0		7536527.0		6791922.0		13082057.0	34167810.0	84693882.0	11608667.0	7236836.0		27216067.0	13081711.0	38241932.0	18669672.0	13549341.0	16884641.0	20492895.0	6934115.0	8047104.0	6119436.0	7473574.0	82022127.0
C56:6 TAG	14977244.0		8536757.0	18521422.0	14078424.0		11495551.0	22993888.0		63867430.0	66823871.0	38421652.0	76454327.0		12450660.0	11468769.0	18389183.0	15917095.0	14456694.0		35376253.0	64356737.0	8752972.0		45414710.0	16412386.0	14401798.0	22104809.0	31527143.0	60551898.0	103137282.0	18043180.0	7244782.0	15340280.0	39927870.0	33639477.0	110181295.0	43972976.0		33555256.0	33887129.0		12006649.0	16665387.0	11392688.0	94501764.0
