Name	SW620_LARGE_INTESTINE	NCIH23_LUNG	KM12_LARGE_INTESTINE	U251MG_CENTRAL_NERVOUS_SYSTEM	SF268_CENTRAL_NERVOUS_SYSTEM	NCIH522_LUNG	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DU145_PROSTATE	SKMEL28_SKIN	NCIH460_LUNG	PC3_PROSTATE	MDAMB231_BREAST	NIHOVCAR3_OVARY	UACC257_SKIN	OVCAR5_OVARY	HCT15_LARGE_INTESTINE	HOP62_LUNG	MDAMB435S_SKIN	HCT116_LARGE_INTESTINE	OVCAR8_OVARY	A549_LUNG	HOP92_LUNG	NCIH226_LUNG	OVCAR4_OVARY	HT29_LARGE_INTESTINE	LOXIMVI_SKIN	EKVX_LUNG	MCF7_BREAST	ACHN_KIDNEY	BT549_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF539_CENTRAL_NERVOUS_SYSTEM	UO31_KIDNEY	SF295_CENTRAL_NERVOUS_SYSTEM	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	UACC62_SKIN	MALME3M_SKIN	MDAMB468_BREAST	SKMEL5_SKIN	HS578T_BREAST	IGROV1_OVARY	TK10	T47D_BREAST	SNB75_CENTRAL_NERVOUS_SYSTEM	SKOV3_OVARY	A498_KIDNEY
citrate	6757217.0	3969658.0	6079214.0	3374129.0	4010570.0	753019.0	1728015.0	889867.0	5370492.0	6885716.0	3280724.0	2215822.0	4807335.0	5039746.0	1570399.0	6748373.0	3458431.0	2315589.0	4146425.0	2273690.0	2650724.0	4003466.0	6082279.0	2186920.0	3056187.0	4105048.0	2869059.0	2723711.0	585049.0	1847427.0	710674.0	1957591.0	2384778.0	14653029.0	456579.0	2538459.0	1506295.0	2039736.0	3436925.0	1258691.0	7407259.0	2973698.0	2431244.0	3648215.0	1788400.0	4652315.0
isocitrate	405584.0	243149.0	109686.0	187607.0	195668.0	46509.0	109803.0	46385.0	311853.0	187743.0	185566.0	121601.0	221540.0	197937.0	80189.0	258995.0	169644.0	138890.0	263458.0	157044.0	116001.0	282632.0	342064.0	146331.0	82507.0	245019.0	97292.0	147731.0	30856.0	115746.0	23257.0	121723.0	154106.0	762482.0		127272.0	56270.0	108474.0	220336.0	61809.0	344610.0	174921.0	121357.0	218976.0	97225.0	274862.0
CMP	8352.0	7713.0	7620.0	5950.0	5130.0	7068.0	10773.0	3132.0	10315.0	7604.0	6752.0	4388.0	6726.0	7047.0	3585.0	14995.0	12143.0	3214.0	5028.0	3080.0	12413.0	8101.0	5076.0	8058.0	2897.0	12808.0	8305.0	10166.0	7502.0	3483.0	2382.0	9462.0	6450.0	8273.0	12847.0	9372.0	2946.0	4125.0	15540.0	5398.0	24323.0	6945.0	14343.0	10348.0	6497.0	
cystathionine	58619.0	31279.0	17103.0	213183.0	56258.0	8480.0	3236.0	133654.0	66880.0	129998.0		6432.0	84116.0	19431.0	8291.0	39223.0	34576.0	65332.0	13957.0	155235.0	17555.0	9447.0	100141.0	9557.0	21731.0	56393.0	16072.0	509719.0	122805.0	83659.0		22542.0	57103.0	260667.0	49516.0	32197.0	13673.0	47047.0	91528.0	81057.0	10634.0	10281.0	17821.0	142760.0	22958.0	14359.0
cytidine	5825.0	22712.0	13942.0	45990.0	17323.0	13283.0		2211.0	343274.0	12406.0		4890.0	112916.0	33801.0	5732.0	41660.0	4993.0	11164.0	4679.0	1727.0		2475.0	41613.0	5242.0		25678.0	13999.0	239660.0	32862.0	85421.0		23726.0	7861.0	122456.0	21373.0	29122.0	21024.0	9138.0	71822.0	14215.0	37161.0	7903.0	38891.0	43395.0	3944.0	4637.0
dCMP	9525.0	10363.0	9039.0	6760.0	11667.0				6081.0	14546.0		9594.0		4676.0	4762.0	16870.0	9641.0	7647.0	7866.0	6644.0	5510.0	10442.0		10148.0	11429.0	11095.0	6907.0	20682.0	7536.0	5681.0		22691.0	17721.0	6014.0		29911.0	2324.0		16926.0	10936.0	9558.0	15770.0	7978.0	20037.0	5834.0	
DHAP/glyceraldehyde 3P	159842.0	228987.0	212609.0	107675.0	176053.0	63323.0	40988.0	223946.0	125198.0	262991.0	109390.0	134925.0	36908.0	16336.0	63475.0	76733.0	90834.0	100797.0	171140.0	143234.0	83293.0	112714.0	139140.0	59756.0		268704.0	21206.0	30336.0	152473.0	87436.0		242757.0	298229.0	117820.0	11421.0	296549.0		111592.0	43555.0	155125.0	131720.0	111488.0	71250.0	128808.0	59812.0	227806.0
dTMP							3374.0													1623.0				4351.0							1950.0															
erythrose-4-phosphate	43228.0	21786.0	36610.0	8721.0	15181.0	6502.0	17266.0	8968.0	35962.0	28656.0		8353.0	6460.0	14953.0	7653.0	23654.0	14362.0	7865.0	18394.0	11638.0	8674.0	27551.0		21809.0	21029.0	12191.0	11151.0	11420.0	15329.0	7361.0		17862.0	9473.0	43498.0		17019.0	14611.0	16328.0	26501.0	7381.0	29554.0	12323.0	8032.0	10821.0	16131.0	
F1P/F6P/G1P/G6P	2347036.0	693462.0	923062.0	721132.0	860025.0	428884.0	1137458.0	505034.0	1307598.0	1270237.0	711306.0	491359.0	515216.0	862125.0	363527.0	1354019.0	704157.0	440512.0	962410.0	671534.0	1140157.0	1428665.0	824418.0	1009366.0	698348.0	603555.0	403616.0	324534.0	266065.0	306155.0	290541.0	893637.0	643374.0	1566460.0	87348.0	533996.0	688706.0	1074417.0	976543.0	501421.0	1923605.0	582836.0	367408.0	530691.0	467139.0	381651.0
fructose/glucose/galactose	135057958.0	66515064.0	150817670.0	49317325.0	69792788.0	71618597.0	44944349.0	174931747.0	31125444.0	68519559.0	107417006.0	77526641.0	125556595.0	104544718.0	72852867.0	29248047.0	94443003.0	59944181.0	116925473.0	64296050.0	76205901.0	63788651.0	70951481.0	84540495.0	108824356.0	63349857.0	86136722.0	56868407.0	125817148.0	114920873.0	23191837.0	88248706.0	80528215.0	75363247.0	5848673.0	56964588.0	137466071.0	109299334.0	87003872.0	129090432.0	36811037.0	75044228.0	59946572.0	103922401.0	122560013.0	31127058.0
fumarate/maleate/alpha-ketoisovalerate	2893246.0	1534449.0	1659345.0	2061504.0	1514012.0	823524.0	639693.0	300780.0	1414563.0	1594524.0	2053351.0	1017438.0	1324845.0	1314325.0	935213.0	1352555.0	2505479.0	921907.0	993457.0	1455984.0	549495.0	1181591.0	1760688.0	2285959.0	1789234.0	1703487.0	1242582.0	2025200.0	350300.0	758321.0	167936.0	1618233.0	1740066.0	1614610.0	242168.0	1688800.0	1117296.0	1172482.0	1491960.0	548484.0	2350564.0	1887680.0	2197534.0	1864143.0	999907.0	2056586.0
glucuronate	57530.0	116121.0	56650.0	87641.0	95075.0	26672.0	24461.0	94008.0	71793.0	176364.0	202856.0	113172.0	90190.0	86174.0	62481.0	93234.0	113346.0	68124.0	89907.0	95724.0	70972.0	123880.0	60488.0	76278.0	114092.0	151651.0	71468.0	97071.0	85030.0	84399.0	86694.0	105632.0	110720.0	95374.0	12344.0	87155.0	60520.0	41017.0	120839.0	116024.0	156659.0	100390.0	54558.0	112586.0	146075.0	44657.0
glutathione oxidized	272707.0	115753.0	190869.0	58635.0	88071.0	55023.0	3265.0	47874.0	109739.0	344512.0		45903.0	30497.0	254038.0	30734.0	65828.0	173985.0	68944.0	157895.0	114708.0	76111.0	53772.0	108923.0	74792.0	183100.0	115131.0	65675.0	98744.0	24548.0	27415.0		60056.0	73161.0	184807.0	29759.0	52020.0	26585.0	73369.0	319002.0	56497.0	149349.0	81826.0	47845.0	64785.0	140476.0	233415.0
glutathione reduced	3684280.0	4122161.0	6036186.0	2794074.0	3648858.0	1680775.0	485595.0	2436121.0	3008321.0	9414598.0	3152736.0	2079463.0	1049250.0	4550888.0	1600191.0	1702436.0	5443084.0	1861945.0	4708557.0	2393206.0	4501678.0	2391194.0	4448402.0	2111160.0	4422576.0	3183892.0	2896311.0	3477611.0	1554594.0	661536.0	480492.0	2763095.0	3524547.0	4635838.0	1699890.0	2352948.0	665659.0	1790103.0	5856095.0	2140712.0	4328526.0	3980048.0	2104513.0	2574472.0	5674079.0	9792940.0
GMP	10543.0	16478.0	18907.0	25190.0	5563.0	5157.0	10301.0	15339.0	11582.0	86370.0	15587.0	3746.0	8878.0	15724.0	6127.0	88767.0	16748.0	5893.0	21172.0	14270.0	18217.0	10732.0	23711.0	13463.0	24342.0	10129.0	9587.0	26016.0	7078.0	7974.0	5232.0	17653.0	11848.0	16713.0	79529.0	5215.0	6678.0		54694.0	16034.0	38176.0	9447.0	10607.0	7463.0	12501.0	12029.0
guanine				8775.0			5441.0	1626.0	37505.0		45471.0	2892.0									10981.0		4279.0					46560.0		7377.0	2278.0			1231.0			2035.0		16065.0	3820.0			9861.0			
guanosine			3401.0	9964.0	16937.0		2087.0	1250.0	386028.0	4597.0	16319.0	12897.0	10010.0	30120.0		7009.0		15383.0		2957.0	5454.0	17016.0	32469.0	1943.0				84696.0	17183.0	5754.0	1483.0	22067.0	25682.0	27048.0		19243.0	29762.0	3200.0	37505.0	11549.0	23360.0			13051.0		5354.0
hippurate	97996.0	100998.0	104300.0	112299.0	63993.0	27335.0	9177.0	138674.0	60736.0	73965.0		74631.0	204652.0	99557.0	54286.0	67774.0	62533.0	54988.0	68319.0	77264.0	34135.0	51447.0		69446.0	67387.0	64823.0	42897.0	67673.0	73134.0	126376.0		43397.0	46564.0	67999.0	13230.0	39135.0	85483.0	38900.0	68519.0	69664.0	52575.0	32433.0	31783.0	65655.0	58147.0	
homocystine			17565.0						11426.0							3835.0			15274.0						3671.0														3049.0		8982.0					
hypoxanthine	10632.0	74045.0	6202.0	174623.0		20806.0	82940.0	10606.0	104959.0		1058783.0	27559.0	238256.0	10267.0	5714.0		14439.0		21746.0	44300.0	89629.0	20282.0	19767.0	41741.0	10358.0	6850.0	7863.0	104928.0	234913.0	398232.0	77403.0	9846.0	17326.0	8360.0		6441.0	538139.0		62794.0	257732.0	16289.0		57363.0	9677.0	12442.0	91040.0
inosine	11072.0	11599.0	11114.0	24869.0	14546.0	4533.0	33425.0	15938.0	205284.0	9221.0	72857.0	11716.0	40604.0	28773.0	8831.0	13037.0	8203.0	9247.0	16050.0	14445.0	26776.0	14446.0	31484.0	9463.0	15744.0	8122.0	13520.0	39686.0	62069.0	41215.0	6374.0	21010.0	24714.0	25970.0		21828.0	53773.0	10933.0	27103.0	21465.0	39446.0	12184.0	14284.0	16670.0	6507.0	18301.0
kynurenine		4105.0	6936.0	7753.0	3528.0	3108.0	2765.0	4542.0	11722.0	7637.0	17952.0	3404.0	28624.0	9085.0	2895.0	31081.0	4940.0	2237.0	21947.0	5763.0	2765.0	2684.0	10979.0	146794.0	7461.0	9733.0		4724.0	6132.0	10794.0	4215.0	7896.0	4872.0	232032.0			12125.0		55600.0	4335.0	19061.0			16801.0	239179.0	4011.0
lactate	31432143.0	32885102.0	53106022.0	26127395.0	29834536.0	17797967.0	11213896.0	31472442.0	37216424.0	35723076.0	38227113.0	20315759.0	19919040.0	16738934.0	14567869.0	49723391.0	33005450.0	19500630.0	38922316.0	29474630.0	17439273.0	22694603.0	20289939.0	17891224.0	15618868.0	35916703.0	16934879.0	19678082.0	22821085.0	14587790.0	5254947.0	28515141.0	35435568.0	41931277.0	7361786.0	26176042.0	19329052.0	14628000.0	23568797.0	23221770.0	48151841.0	28357987.0	16736750.0	38859193.0	10929071.0	14204232.0
lactose	137407.0	55166.0	205089.0	64121.0	181929.0	91106.0	20309.0	109180.0	66417.0	117598.0	81285.0	78876.0	86004.0	178577.0	107511.0	119860.0	210618.0	66494.0	94343.0	73213.0	66570.0	243223.0	28159.0	65206.0	72662.0	94117.0	167605.0	85223.0	177234.0	59835.0	4372.0	215766.0	235563.0	113829.0		88395.0	83926.0	126956.0	91547.0	182949.0	80850.0	156434.0	54241.0	462798.0	6198201.0	31285.0
malate	23827574.0	12045708.0	14335677.0	14615805.0	10864474.0	3285757.0	4278857.0	1575697.0	11749698.0	11839511.0	14311357.0	7224039.0	10526191.0	10793906.0	5398066.0	9746400.0	15207917.0	6937978.0	8051321.0	10227679.0	3083598.0	8702625.0	14627397.0	19403229.0	10722309.0	12343236.0	7066648.0	13700584.0	1862799.0	4346997.0	1287951.0	10672166.0	13558348.0	12825945.0	1773591.0	11115860.0	6381229.0	9440741.0	13883638.0	3342591.0	19158355.0	12694479.0	15730182.0	13322866.0	5455069.0	16640163.0
NAD	312274.0	294460.0	528130.0	373057.0	488906.0	210633.0	222115.0	280923.0	490150.0	1452433.0	297645.0	441425.0	129980.0	580068.0	172840.0	971591.0	505218.0	316300.0	531070.0	156529.0	255322.0	876366.0	708303.0	395878.0	439347.0	452970.0	393650.0	358237.0	155795.0	142911.0	84099.0	127396.0	431914.0	705578.0	186890.0	231841.0	204263.0	169985.0	361866.0	178657.0	558165.0	602688.0	242975.0	248985.0	419429.0	993993.0
NADP	5395.0	9594.0	17035.0	3965.0	3464.0	6252.0	902.0	3890.0	5063.0	79019.0	1532.0	1619.0	2521.0	11452.0	4436.0	17979.0	5822.0	2672.0	12372.0	6212.0	21521.0	2872.0	11246.0	5962.0	11439.0	3415.0	4300.0	4401.0		1043.0		3365.0	5740.0	49306.0		6803.0	1882.0		12053.0	2024.0	6695.0	9699.0	1867.0	4054.0	12907.0	17834.0
nicotinate															6588.0		6747.0			9940.0						6147.0	6198.0		13357.0			3885.0	2786.0						14781.0	13996.0						
hydroxyphenylpyruvate								15392.0								9280.0																		10412.0												
oxalate	113063.0	142974.0	53741.0	105819.0	99762.0	109579.0	164789.0	72557.0	80438.0	64632.0		96853.0	87547.0	94396.0	118837.0	86920.0	89814.0	87020.0	108676.0	110427.0	79752.0	118640.0		92673.0	53653.0	81128.0	116230.0	88011.0	105880.0	80828.0		101518.0	97412.0	62116.0	96358.0	92075.0	55567.0	120954.0	83960.0	108857.0	80460.0	83812.0	53307.0	95810.0	104360.0	
pantothenate	11139274.0	5781566.0	13082954.0	5229986.0	1977637.0	1552457.0	3160288.0	2358679.0	8361821.0	3037546.0	4683594.0	3197888.0	5571837.0	11831257.0	1335362.0	1794368.0	1482294.0	1997404.0	2387069.0	2727519.0	1605275.0	4445466.0	4712964.0	2702568.0	3910552.0	1895429.0	1043016.0	2551642.0	3031155.0	1407335.0	1616905.0	1001079.0	1888023.0	4476853.0	6555324.0	4099094.0	3831453.0	6579775.0	3284294.0	3393968.0	5234363.0	1641962.0	1803055.0	637514.0	4393777.0	5308894.0
PEP	32532.0	46294.0	27179.0	3651.0	8180.0	18689.0	15630.0	2948.0	16220.0	34139.0	9293.0	12270.0	4509.0	11821.0	5824.0	25077.0	10668.0	9612.0	33223.0	17213.0	4243.0	19871.0	8782.0	15478.0	9647.0	16230.0	3603.0	13553.0	6880.0	6805.0		22713.0	19261.0	17570.0		17987.0	2551.0	6936.0	20619.0	5501.0	55651.0	10035.0	15656.0	11924.0	3496.0	16271.0
propionate															3462.0																															
ribose-5-P/ribulose5-P	430083.0	387427.0	233679.0	85425.0	461512.0	85170.0	127053.0	122144.0	114231.0	182583.0	105386.0	91112.0	55125.0	119021.0	50568.0	155087.0	102216.0	121314.0	186375.0	413357.0	47139.0	99142.0	158829.0	136579.0	349700.0	156910.0	71286.0	100158.0	61872.0	88532.0	7679.0	341822.0	155586.0	183985.0	515832.0	172418.0	50788.0	133302.0	116333.0	195337.0	130822.0	153375.0	231445.0	143770.0	95456.0	80583.0
salicylurate		23573.0	21203.0	12103.0		5438.0		20173.0	11396.0		33402.0		41098.0			12004.0			13154.0	10376.0	8696.0		10134.0	11674.0	9142.0					15799.0	2817.0			13077.0			13499.0		12511.0		11917.0				10811.0	6302.0
sorbitol	16340211.0	23926584.0	22714751.0	31294820.0	17901616.0	15511698.0	4393286.0	48484624.0	22542165.0	29374456.0	30347679.0	18386307.0	22053763.0	22269577.0	11974324.0	24160478.0	26002612.0	15354044.0	24806737.0	21595427.0	31762670.0	15117699.0	33540598.0	24553107.0	19081798.0	24813191.0	16175538.0	20357543.0	24724413.0	30655870.0	3645136.0	15906919.0	34814486.0	30590701.0	2797291.0	19674987.0	25583103.0	22100736.0	22985527.0	26443955.0	9377241.0	35807092.0	14381143.0	23009529.0	17353279.0	31189127.0
succinate/methylmalonate	17839659.0	11413149.0	10451403.0	8621283.0	5385159.0	11392728.0	1317356.0	7095941.0	5614159.0	5153937.0	12548456.0	5986641.0	19179707.0	6123554.0	3874680.0	5569213.0	6684931.0	5504713.0	9144634.0	6527395.0	5317035.0	4506910.0	6537684.0	10438833.0	7098632.0	11550526.0	4657721.0	7413906.0	6217556.0	9769295.0	2182976.0	4910508.0	4959421.0	7042565.0	11274314.0	3358043.0	8948144.0	8386181.0	6755695.0	6406790.0	9128605.0	7917496.0	4937884.0	7561613.0	4808505.0	6544400.0
sucrose	159375.0	52103.0	132447.0	54956.0	1343031.0	42990.0	68705.0	133807.0	51848.0	73621.0	167217.0	68659.0	36789.0	110598.0	71006.0	97573.0	148764.0	46005.0	59381.0	39158.0	90871.0	149596.0	147258.0	37003.0	47902.0	66998.0	84991.0	56150.0	211946.0	67989.0	14862.0	132316.0	152063.0	72743.0	10457.0	67687.0	75662.0	208652.0	52271.0	176046.0	43161.0	191646.0	62331.0	237185.0	1104571.0	167469.0
thymine	87539.0	106419.0	655737.0	53784.0	69630.0	247277.0		309686.0	271959.0	278198.0	1287328.0	33832.0		82292.0		1823327.0	101094.0		495579.0	114567.0		55189.0	77419.0	140088.0	157266.0	49418.0	181478.0	143435.0	156016.0	232017.0	32425.0	82098.0	92509.0	357474.0		82473.0	151429.0		94981.0	143343.0		99711.0	115030.0	229276.0	366486.0	54253.0
UMP	55349.0		46370.0	31957.0	24248.0	18102.0	34242.0		27855.0	82918.0		9314.0	18053.0	45569.0	8629.0	60604.0	31685.0	12646.0	26458.0	13703.0	21477.0	32685.0		51144.0	24862.0	27301.0	27841.0	51981.0	9090.0			20436.0	20316.0	29160.0	107313.0	25404.0	18025.0	26115.0	45013.0	23574.0	42295.0	32873.0	53704.0	12013.0	22807.0	
UDP-galactose/UDP-glucose	773878.0	617156.0	728496.0	288925.0	597385.0	507196.0	125320.0	445208.0	703862.0	992015.0	484883.0	369648.0	196061.0	545324.0	246493.0	1278699.0	679247.0	437250.0	638410.0	300258.0	489215.0	613329.0	1010962.0	836578.0	369152.0	530441.0	490400.0	313846.0	218563.0	85392.0	66801.0	486061.0	431924.0	1440134.0	94984.0	842402.0	160942.0	393239.0	732694.0	235811.0	748882.0	761866.0	342438.0	505253.0	709375.0	846066.0
uracil	636385.0	819755.0	946958.0	472918.0	546507.0	330206.0	122816.0	950930.0	1382587.0	585947.0	1180087.0	244825.0	1810824.0	869964.0	379980.0	848238.0	635305.0	182702.0	1609631.0	551446.0	441557.0	418945.0	351629.0	781428.0	970874.0	143533.0	550056.0	570132.0	497349.0	799537.0	86182.0	364058.0	338396.0	115084.0	54703.0	778878.0	759088.0	355486.0	1189221.0	531639.0	938773.0	302943.0	626830.0	442019.0	1153120.0	343035.0
urate	508653.0	439595.0	657093.0	851518.0	478230.0	294988.0	160411.0	841588.0	484561.0	636335.0	1459424.0	335026.0	1707457.0	678786.0	206013.0	487068.0	294235.0	406309.0	726681.0	420179.0	546500.0	350797.0	329315.0	329123.0	506321.0	728818.0	138926.0	556664.0	544326.0	1043371.0	85422.0	249708.0	156605.0	391827.0	47771.0	526205.0	706094.0	226695.0	290247.0	189104.0	1322822.0	225682.0	278424.0	192126.0	235589.0	418551.0
uridine	27566.0	58159.0	42489.0	85900.0	44175.0	67586.0		52988.0	246722.0	36995.0	37067.0	55716.0	267125.0	103895.0	31935.0	164421.0	86953.0	30430.0	29659.0	67271.0	116628.0	115716.0	106763.0	76737.0	18841.0	35644.0	386838.0	538654.0	97541.0	154983.0	39201.0	83891.0	54745.0	264372.0	31990.0	52340.0	51140.0	27854.0	110822.0	27411.0	221543.0	37629.0	93079.0	188496.0	345705.0	61705.0
xanthine	1068670.0	653336.0	1065574.0	795868.0	532746.0	390292.0	180293.0	702244.0	526722.0	986573.0	2312878.0	367785.0	1683402.0	627111.0	338707.0	802642.0	568365.0	431147.0	1335968.0	520491.0	974922.0	487313.0	555602.0	684269.0	1176588.0	837712.0	329488.0	667829.0	593301.0	943473.0	114536.0	439330.0	465916.0	1124118.0	55462.0	788549.0	870926.0	351354.0	695356.0	515644.0	592914.0	399365.0	568937.0	765478.0	922499.0	384211.0
glycocholate		19840.0	9708.0					9348.0	3854.0		8874.0		13642.0						271763.0	1918.0				6884.0	312872.0					8868.0				8503.0			11548.0		5847.0						78312.0	
taurocholate	231464.0	253186.0	227095.0		65606.0	30201.0		15142.0		142484.0		75118.0		93029.0	38235.0	192398.0	133141.0	79501.0	779859.0	56035.0		36710.0		44904.0	458947.0	280398.0	58567.0			131561.0		56995.0	83767.0	109913.0	1668.0	328182.0	37321.0	51642.0	72953.0	101414.0		66514.0	165136.0	102334.0	659012.0	
glycodeoxycholate/glycochenodeoxycholate	10055.0	20728.0	20051.0	20003.0	8675.0	7819.0		26802.0	12957.0	18302.0	22902.0	10115.0		17748.0	8143.0	9704.0	12372.0	11121.0	50779.0	7907.0		11972.0	7502.0	11175.0	49709.0	9113.0	6765.0	10967.0	15666.0	20589.0		7938.0	8060.0	27786.0		4765.0	15851.0	8703.0	10196.0	9544.0		8427.0	6221.0	14044.0	37753.0	8575.0
taurodeoxycholate/taurochenodeoxycholate	5829307.0	9702109.0	13390446.0	42153.0	11084766.0	5666563.0	4401725.0			10651522.0	76745.0	8944056.0	5322334.0	13936094.0	9498262.0	10868077.0	16850706.0	6822423.0		6885287.0	27394.0	8578552.0	11415688.0	7388636.0		6328082.0	12087540.0	24264.0	27369.0	12023871.0	763248.0	12905756.0	14208758.0	16153027.0	660831.0	3862524.0	5316508.0	4092393.0	8946518.0	10555922.0	13702206.0	10952533.0	4238013.0	19629275.0		22514.0
chenodeoxycholate/deoxycholate				127526.0	98176.0		61170.0			53644.0	23753.0	77929.0	48657.0	51136.0	91853.0	75348.0	75613.0	140309.0				90402.0				38950.0	90633.0	136388.0	117551.0			98209.0	100064.0			20620.0		75349.0		89618.0	86257.0	94775.0	55486.0	67931.0		
hydroxyphenylacetate																									5332.0					4309.0										1766.0						
phosphocreatine	5991252.0	4407719.0	867975.0	4049515.0	1784152.0	838438.0	1439650.0	1402338.0	2548203.0	5271774.0	1720364.0	175516.0	1198165.0	3632316.0	363486.0	691701.0	589923.0	1780280.0	6489341.0	3779956.0	397534.0	448655.0	1156773.0	358909.0	4920809.0	9639.0	1026270.0	1924977.0	466652.0	1125423.0	10463.0	4064732.0	455442.0	5282720.0	37341.0	1800982.0	1071298.0	196177.0	3453426.0	428032.0	1764128.0	20573.0	3168035.0	2189117.0	1646332.0	47111.0
3-methyladipate/pimelate		30791.0	29133.0	24921.0	21959.0	12596.0		24860.0	15022.0	19298.0		9940.0		15168.0	20473.0	32228.0	20844.0	12577.0	26660.0	14657.0		19501.0		12751.0	12205.0	29867.0	15570.0	20577.0	18547.0	32160.0		26351.0	15891.0	31309.0		23040.0	17694.0		22102.0	21982.0		23964.0	14104.0	18991.0	17907.0	
6-phosphogluconate	233574.0	413778.0	41717.0	82818.0	68464.0	11591.0		17156.0	44175.0	54647.0	7778.0	54692.0		7434810.0	72606.0	60467.0	97140.0	391827.0	56778.0	34400.0		35291.0		34567.0	146424.0	411117.0	35022.0	73374.0	10030.0	18846.0		48585.0	69662.0	209716.0		227076.0	63631.0	71262.0	617372.0	63584.0		58649.0	20490.0	122955.0	26454.0	
alpha-hydroxybutyrate		11382.0	28037.0	23483.0	17463.0			19811.0	22919.0	13856.0	22906.0	10997.0		13566.0	7439.0	34620.0	7775.0		26574.0	19598.0		13590.0			21577.0	13368.0	7020.0	19117.0	40036.0	12053.0			11529.0	18810.0		12396.0	24600.0		16985.0	18131.0	17249.0	10778.0				
beta-hydroxybutyrate		8271.0	19811.0	18926.0	9100.0			9470.0		14283.0	17654.0	10358.0	30152.0	19509.0	6940.0	7030.0	12040.0	4784.0				10974.0	9692.0			9737.0	9943.0	13656.0	15000.0	17235.0	7404.0	10339.0	8223.0			4405.0	25802.0			13354.0		8959.0	17168.0	13057.0		9750.0
2-hydroxyglutarate	508269.0	265697.0	379946.0	564686.0	605093.0	124221.0	182286.0	114492.0	796827.0	183656.0	445362.0	462419.0	576361.0	219113.0	130754.0	10461068.0	256916.0	274791.0	365091.0	567207.0	141976.0	327553.0	647789.0	1185587.0	322039.0	1243812.0	358498.0	131601.0	183057.0	174596.0	93162.0	278984.0	380113.0	554815.0	398185.0	372130.0	148719.0	402879.0	783815.0	279629.0	1658966.0	1277671.0	456985.0	620044.0	310098.0	2231184.0
inositol	156568.0	191094.0	153085.0	328663.0	184771.0	272581.0	73846.0	279767.0	53954.0	161015.0	415340.0	173299.0	445547.0	259488.0	150390.0	636422.0	196311.0	147977.0	159616.0	283674.0	157048.0	192181.0	357405.0	210869.0	191331.0	240814.0	200682.0	84816.0	126413.0	192290.0	42137.0	173632.0	405207.0	296321.0	61337.0	575434.0	80933.0	50077.0	106455.0	109449.0	1065469.0	248951.0	110090.0	311906.0	723411.0	878771.0
malondialdehyde	11722.0	28248.0	38933.0	15086.0	19089.0	13886.0	16257.0	25464.0	18066.0	26852.0	24957.0	15116.0	8760.0	14048.0	8703.0	35062.0	15759.0	10081.0	18716.0	25552.0	10464.0	14922.0	8919.0	15208.0	10728.0	26717.0	6973.0	17031.0	10483.0	11408.0		19673.0	28169.0	21370.0		13221.0	20424.0		7966.0	11918.0	36132.0	17128.0	12414.0	26502.0	10108.0	7538.0
glycine	14514.0	6452.0	16129.0	1342.0	4072.0	2584.0	2858.0	18269.0	9601.0	7814.0	6718.0	3284.0	10034.0	5013.0	2447.0	31585.0	3895.0	5994.0	47584.0	4153.0	12331.0	6546.0	5729.0	4616.0	11593.0	1350.0	3162.0	6139.0	5837.0	4536.0	3323.0	3249.0	5735.0	9728.0	1720.0	3409.0	6173.0	13130.0	5599.0	7552.0	9278.0	6426.0	6304.0	4346.0	22971.0	4368.0
alanine	665861.0	105387.0	2098550.0	554520.0	274966.0	57240.0	49870.0	121297.0	636413.0	520110.0	673715.0	52737.0	327803.0	145114.0	48711.0	2585670.0	223887.0	141223.0	769671.0	140265.0	460484.0	164080.0	200179.0	454519.0	444709.0	58883.0	41194.0	365567.0	111815.0	122567.0	75018.0	156151.0	259847.0	1431858.0	42106.0	132361.0	233875.0	204512.0	132368.0	102143.0	295601.0	389927.0	168668.0	376559.0	389750.0	353817.0
serine	147541.0	192974.0	170724.0	13544.0	263810.0	158764.0	152119.0	150403.0	31013.0	36771.0	104853.0	151586.0	385255.0	390402.0	181626.0	364105.0	241584.0	169345.0	106768.0	115413.0	58896.0	99884.0	101218.0	216400.0	201534.0	74727.0	204674.0	140187.0	25351.0	373396.0	35069.0	420752.0	246869.0	137614.0	37647.0	134225.0	323603.0	275195.0	199248.0	309496.0	89018.0	190338.0	239758.0	402487.0	269637.0	66693.0
threonine	1134388.0	247323.0	2128641.0	613353.0	182555.0	112536.0	357260.0	1324543.0	986198.0	241601.0	143315.0	120147.0	248446.0	175613.0	121246.0	163864.0	212160.0	112839.0	257517.0	154494.0	292640.0	113535.0	153097.0	207134.0	173770.0	121001.0	140940.0	750561.0	1121523.0	327850.0	134951.0	213552.0	208005.0	518473.0	33758.0	118245.0	676379.0	589037.0	195367.0	789078.0	149971.0	143189.0	133005.0	265475.0	277052.0	230324.0
